Wrestler,Wins,Losses,Draws,percentage
Dean Ambrose,133,67,4,66%
Kevin Owens,61,130,2,32%
Tyler Breeze,17,163,2,10%
AJ Styles,108,68,0,61%
Sami Zayn,111,59,6,65%
Dolph Ziggler,114,56,2,67%
Zack Ryder,119,51,2,70%
Rusev,70,97,2,42%
Jey Uso,76,90,0,46%
Baron Corbin,103,59,3,63%
Sheamus,44,115,5,28%
Becky Lynch,102,54,5,65%
Roman Reigns,142,12,5,91%
Apollo Crews,125,30,0,81%
Jason Jordan,126,23,2,84%
Jimmy Uso,70,80,0,47%
Viktor,2,145,1,2%
Chad Gable,120,25,2,82%
The Miz,43,103,1,30%
Mojo Rawley,113,31,2,78%
Natalya,37,109,0,25%
Cesaro,78,62,3,56%
Jack Swagger,73,70,0,51%
Bayley,126,11,2,91%
Big E,107,31,1,77%
Fandango,24,111,0,18%
Kofi Kingston,95,39,1,71%
Kalisto,75,59,0,56%
Sasha Banks,101,28,5,77%
Bray Wyatt,24,107,2,19%
Sin Cara,69,62,2,53%
Aiden English,12,118,2,10%
Enzo Amore,79,48,3,62%
Charlotte,86,42,1,67%
Heath Slater,62,64,0,49%
Alexa Bliss,35,90,0,28%
Curtis Axel,11,114,0,9%
Simon Gotch,11,111,1,9%
Bo Dallas,17,104,1,14%
Carmella,59,62,1,49%
Goldust,96,26,0,79%
Karl Anderson,31,89,2,26%
Braun Strowman,65,53,3,55%
Titus O'Neil,47,73,1,39%
Kane,103,15,0,87%
R-Truth,96,21,1,82%
Seth Rollins,39,75,4,35%
Asuka,112,3,2,97%
Chris Jericho,38,77,0,33%
Konnor,2,110,1,2%
Luke Gallows,27,84,2,25%
Nia Jax,37,72,1,34%
Xavier Woods,83,26,1,76%
Darren Young,74,28,2,72%
Neville,78,26,0,75%
Big Cass,61,40,1,60%
Tye Dillinger,60,41,1,59%
Dash Wilder,34,64,3,35%
Scott Dawson,34,63,3,36%
D-Von Dudley,19,77,0,20%
Shinsuke Nakamura,90,4,2,95%
Samoa Joe,32,59,4,36%
Bubba Ray Dudley,21,72,0,23%
Alberto Del Rio,24,65,2,27%
Peyton Royce,20,67,2,24%
Erick Rowan,14,72,1,17%
Alexander Wolfe,37,49,0,43%
Dana Brooke,11,74,0,13%
Liv Morgan,42,43,0,49%
Naomi,41,43,0,49%
Angelo Dawkins,21,62,0,25%
Billie Kay,27,50,2,35%
Aliyah,26,51,1,34%
Patrick Clark,26,52,0,33%
Elias Samson,29,48,0,38%
The Big Show,60,16,1,79%
No Way Jose,56,19,1,74%
Alicia Fox,49,25,1,66%
Daria Berenato,27,47,0,36%
Epico,21,52,1,29%
Primo,19,54,1,26%
Riddick Moss,18,55,1,25%
Tino Sabbatelli,24,50,0,32%
Stardust,5,66,2,8%
Tucker Knight,28,45,0,38%
Finn Balor,60,11,1,84%
Luke Harper,20,51,1,28%
Sawyer Fulton,28,42,1,40%
Mandy Rose,13,54,1,20%
Andrade Almas,40,23,0,63%
Rhyno,50,13,0,79%
Austin Aries,37,23,1,61%
Rich Swann,41,19,1,68%
Randy Orton,39,21,0,65%
Ryback,37,17,1,68%
Bobby Roode,25,28,1,47%
Summer Rae,12,42,0,22%
Wesley Blake,7,45,1,14%
Ember Moon,36,15,0,71%
John Cena,29,21,0,58%
Oney Lorcan,32,18,0,64%
Curt Hawkins,4,44,0,8%
Nikki Bella,34,13,1,72%
Tommaso Ciampa,32,16,0,67%
Colin Cassady,38,7,2,83%
Johnny Gargano,32,15,0,68%
Steve Cutler,10,35,1,23%
Paige,30,15,0,67%
Shane Thorne,28,17,0,62%
Buddy Murphy,10,33,1,24%
Emma,14,30,0,32%
Manny Andrade,32,12,0,73%
Nick Miller,27,17,0,61%
Tamina,6,36,0,14%
Eva Marie,18,22,0,45%
Jinder Mahal,3,37,0,8%
Cedric Alexander,26,13,0,67%
Kenneth Crawford,16,21,0,43%
Christopher Girard,7,28,1,21%
Hugo Knox,24,11,0,69%
Blake,2,31,1,7%
Murphy,2,31,1,7%
Mark Henry,20,12,0,63%
TJ Perkins,22,10,0,69%
Alex Riley,11,20,0,35%
Charlotte Flair,12,18,1,40%
Sunny Dhinsa,11,19,0,37%
Adam Rose,6,23,0,21%
Damien Sandow,11,18,0,38%
Lince Dorado,15,13,1,53%
Gzim Selmani,11,17,0,39%
Hideo Itami,26,2,0,93%
Adrienne Reese,14,12,0,54%
Akam,23,3,0,88%
Rezar,23,3,0,88%
Dan Matha,7,17,1,30%
Josh Woods,9,15,0,38%
Lana,3,20,0,13%
Niko Bogojevic,7,14,0,33%
Adrian Jaoude,5,14,1,28%
Diego,1,19,0,5%
Otis Dozovic,7,13,0,35%
The Brian Kendrick,11,9,0,55%
Noam Dar,7,12,0,37%
Tony Nese,7,12,0,37%
Roderick Strong,13,5,0,72%
Eric Young,8,9,0,47%
King Barrett,3,14,0,18%
Brie Bella,7,9,0,44%
Drew Gulak,3,13,0,19%
Fernando,1,15,0,6%
Kishan Raftar,6,10,0,38%
Levis Valenzuela Jr.,15,1,0,94%
Ariya Daivari,3,12,0,20%
Jack Gallagher,12,3,0,80%
Nicola Glencross,3,12,0,20%
Noah Kekoa,5,10,0,33%
Tian Bing,6,8,0,43%
Gran Metalik,8,5,0,62%
Nikki Cross,8,5,0,62%
Noah Potjes,3,10,0,23%
Brock Lesnar,8,3,0,73%
Cezar Bononi,1,9,1,14%
James Ellsworth,8,3,0,73%
Macey Estrella,1,10,0,9%